"Day","Unit focus","Content focus (≈30 min)","Practice MC (≈20 min)","FRQ work (≈10 min)"
"1","Unit 7","Sectors (primary–quinary), HDI/GNI, Rostow, core–periphery, NICs.savemyexams+1","10–15 dev/industry questions.","3–4 sentences on HDI calculation + one limitation."
"2","Unit 7","Globalization, outsourcing, EPZs/SEZs, offshoring, inequality, deindustrialization.savemyexams+1","10–15 Unit 7 questions (graphs/maps).","Outline prompt on outsourcing’s effects on core vs periphery."
"3","Unit 6","Urbanization, rank‑size vs primate, Burgess, Hoyt, Multiple Nuclei models.savemyexams","10–15 questions on urban models.","Sketch 3 models + 1 example city each."
"4","Unit 6","Suburbanization, sprawl, gentrification, redlining, smart growth, sustainability.savemyexams","10–15 urban issues questions.","Bullets on causes & consequences of gentrification."
"5","Unit 5","Commercial vs subsistence, intensive vs extensive, major agriculture types.savemyexams","10–15 agriculture questions.","Draw von Thünen, label rings, 2 sentences on tech effects."
"6","Unit 5","Green Revolution, GMOs, mechanization, land tenure, environmental/social impacts.savemyexams","10–15 Green Revolution/food questions.","3–4 sentences: effects in core vs periphery country."
"7","Unit 4","State, nation, nation‑state, stateless, multinational/multi‑state; colonialism/imperialism.savemyexams+1","10–15 political vocab questions.","Table of examples for each (state, nation, etc.)."
"8","Unit 4","Boundary types/disputes, unitary vs federal, devolution, supranational orgs.savemyexams+1","10–15 boundary/supranational questions.","Outline: how EU‑type org affects sovereignty."
"9","Unit 3","Culture, cultural landscape, folk vs popular culture, diffusion types.savemyexams","10–15 culture/diffusion questions.","Diagram linking each diffusion type to 1 real example."
"10","Unit 2","Densities, DTM stages, pyramids, dependency, Malthus/Neo‑Malthus.savemyexams+1","10–15 population/pyramid questions.","Bullets: country evolving from stage 2 → 3 → 4."
"11","Unit 2","Push–pull, forced vs voluntary, internal vs international, Ravenstein, refugees, remittances.albert+1","10–15 migration questions.","3–4 sentences: migration’s social & economic impacts on one region."
"12","Unit 1","Scale, projections, map types, regions, GIS/remote sensing.apstudents.collegeboard+1","10–15 Unit 1 map/scale questions.","3–4 sentences defining & exemplifying region types."
"13","All units","Quick scan of notes for Units 7→1; general tips/strategy video/article.albertyoutubemarkseducation","20 mixed questions, timed (~45 sec each).prepscholar+1","One full FRQ question under 10 minutes (focus structure & key terms)."
"14","Units 1 & 7","15 min Unit 1 high‑yield; 15 min Unit 7 high‑yield.apstudents.collegeboard+3","10–12 Unit 1 & 7 questions only.prepscholar","Outline FRQ connecting development to a spatial pattern (e.g., urbanization)."
