"Day","Unit focus","Task type","Suggested time","What you do"
"1","Unit 7","Spaced review","5 min","Quick pass of any existing HuG cards."
"1","Unit 7","New content + active recall","25 min","Sectors, HDI/GNI, indicators, Rostow, core–periphery; make cards + small concept map."
"1","Unit 7","Break","5 min","Stand up, water, no phone scrolling."
"1","Unit 7","MCQ practice","15 min","10–15 Unit 7 questions, mark misses."
"1","Unit 7","FRQ micro","10 min","Short HDI explanation + 1 limitation."
"2","Unit 7","Spaced review","5 min","Review Day 1 Unit 7 cards."
"2","Unit 7","New content + active recall","25 min","Globalization, EPZ/SEZ, outsourcing, deindustrialization, inequality; cards + core–periphery map."
"2","Unit 7","Break","5 min","Short walk/stretch."
"2","Unit 7","MCQ practice","15 min","10–15 Unit 7 MCQs (graphs/maps)."
"2","Unit 7","FRQ micro","10 min","Outline outsourcing prompt (thesis + bullets)."
"3","Unit 6","Spaced review","5 min","Review key Unit 7 cards."
"3","Unit 6","New content + active recall","25 min","Urbanization, rank‑size vs primate, Burgess, Hoyt, Multiple Nuclei; cards + sketches."
"3","Unit 6","Break","5 min","Away from screen."
"3","Unit 6","MCQ practice","15 min","10–15 urban model questions."
"3","Unit 6","FRQ micro","10 min","Outline compare/contrast 2 models."
"4","Unit 6","Spaced review","5 min","Quick review Units 7 + 6 models."
"4","Unit 6","New content + active recall","25 min","Sprawl, gentrification, redlining, smart growth, sustainability; cards + cause→effect map."
"4","Unit 6","Break","5 min","Stretch/eye break."
"4","Unit 6","MCQ practice","15 min","10–15 urban issues questions."
"4","Unit 6","FRQ micro","10 min","Bullets on gentrification causes & consequences."
"5","Unit 5","Spaced review","5 min","Review Units 7–6 cards."
"5","Unit 5","New content + active recall","25 min","Subsistence vs commercial, intensive vs extensive, major agriculture types; cards + von Thünen sketch."
"5","Unit 5","Break","5 min","Short break."
"5","Unit 5","MCQ practice","15 min","10–15 agriculture MCQs."
"5","Unit 5","FRQ micro","10 min","Explain how transport changes von Thünen."
"6","Unit 5","Spaced review","5 min","Cards: von Thünen + key ag types."
"6","Unit 5","New content + active recall","25 min","Green Revolution, GMOs, mechanization, land tenure, impacts; cards + tech→yield→env map."
"6","Unit 5","Break","5 min","Move around."
"6","Unit 5","MCQ practice","15 min","10–15 Green Revolution/food MCQs."
"6","Unit 5","FRQ micro","10 min","Core vs periphery Green Revolution effects."
"7","Unit 4","Spaced review","5 min","Mixed cards Units 7–5."
"7","Unit 4","New content + active recall","25 min","State, nation, nation‑state, stateless, multinational; colonialism/imperialism; cards + example table."
"7","Unit 4","Break","5 min","Short break."
"7","Unit 4","MCQ practice","15 min","10–15 political vocab MCQs."
"7","Unit 4","FRQ micro","10 min","Stateles nation short response."
"8","Unit 4","Spaced review","5 min","Key Unit 4 + earlier cards."
"8","Unit 4","New content + active recall","25 min","Boundaries, disputes, unitary/federal, devolution, supranational orgs; cards + supranationalism map."
"8","Unit 4","Break","5 min","Walk/stretch."
"8","Unit 4","MCQ practice","15 min","10–15 boundary/supranational MCQs."
"8","Unit 4","FRQ micro","10 min","Outline on sovereignty & supranational org."
"9","Unit 3","Spaced review","5 min","Mixed Units 7–4 cards."
"9","Unit 3","New content + active recall","25 min","Culture, cultural landscape, folk vs popular, diffusion types; cards + diffusion diagram."
"9","Unit 3","Break","5 min","Short break."
"9","Unit 3","MCQ practice","15 min","10–15 culture/diffusion MCQs."
"9","Unit 3","FRQ micro","10 min","Popular culture spread + local impact."
"10","Unit 2","Spaced review","5 min","Cards: diffusion, models."
"10","Unit 2","New content + active recall","25 min","Densities, DTM stages, pyramids, dependency, Malthus; cards + pyramid sketches."
"10","Unit 2","Break","5 min","Eye/brain break."
"10","Unit 2","MCQ practice","15 min","10–15 population/DTM MCQs."
"10","Unit 2","FRQ micro","10 min","Bullets: stage 2→3→4 progression."
"11","Unit 2","Spaced review","5 min","Cards: DTM + densities."
"11","Unit 2","New content + active recall","25 min","Migration types, Ravenstein, push–pull, refugees, remittances, brain drain; cards + flow map."
"11","Unit 2","Break","5 min","Short break."
"11","Unit 2","MCQ practice","15 min","10–15 migration MCQs."
"11","Unit 2","FRQ micro","10 min","Impacts of migration on origin/destination."
"12","Unit 1","Spaced review","5 min","Mixed cards Units 7–2."
"12","Unit 1","New content + active recall","25 min","Projections, map types, scale, regions, GIS/remote sensing; cards + quick map sketches."
"12","Unit 1","Break","5 min","Move, water."
"12","Unit 1","MCQ practice","15 min","10–15 Unit 1 map/scale MCQs."
"12","Unit 1","FRQ micro","10 min","Region types definitions + examples."
"13","All","Spaced review","10 min","Mixed cards all units (slightly longer)."
"13","All","Active recall (big picture)","20 min","One big concept map linking major models & themes; quick recall of key vocab."
"13","All","Break","5–10 min","Bigger break; this day is heavier."
"13","All","MCQ practice (mixed)","20 min","Longer mixed MCQ set, timed, review misses carefully."
"13","All","FRQ practice","10–15 min","1 full FRQ (or close) focusing on structure + vocab."
"14","Units 1 & 7","Spaced review","10 min","Light pass: key cards Units 1 & 7."
"14","Units 1 & 7","Active recall polish","20 min","Verbal recall of definitions/models for maps, scale, regions, HDI, sectors, Rostow, core–periphery."
"14","Units 1 & 7","Break","10 min","Relax; no heavy new work."
"14","Units 1 & 7","MCQ practice","15 min","Short, low‑stress set of Unit 1 & 7 MCQs."
"14","Units 1 & 7","FRQ micro","5–10 min","Outline prompt connecting development to migration/urbanization."
